track_name,model_name,uncertainty_bin,n,mean_uncertainty,mean_abs_error
Random_Promoter_DREAM_base_track_3,T05_uncertainty_ensemble_proxy,"(6000.8, 12000.6]",6000,0.1581625249452186,1.5816248603629368
Random_Promoter_DREAM_base_track_3,T05_uncertainty_ensemble_proxy,"(12000.6, 18000.4]",6000,0.1876013044133492,1.5677940739154177
Random_Promoter_DREAM_base_track_3,T05_uncertainty_ensemble_proxy,"(18000.4, 24000.2]",6000,0.2226330448139531,1.5625472450888285
Random_Promoter_DREAM_base_track_3,T05_uncertainty_ensemble_proxy,"(24000.2, 30000.0]",6000,0.3146485645154602,1.4931555185768457
Random_Promoter_DREAM_base_track_4,T05_uncertainty_ensemble_proxy,"(0.999, 6000.8]",6000,0.1186573313760022,1.5963142016184086
Random_Promoter_DREAM_base_track_4,T05_uncertainty_ensemble_proxy,"(6000.8, 12000.6]",6000,0.1571601275871714,1.5651984076469925
Random_Promoter_DREAM_base_track_4,T05_uncertainty_ensemble_proxy,"(12000.6, 18000.4]",6000,0.1864365631245535,1.5553490061121495
Random_Promoter_DREAM_base_track_4,T05_uncertainty_ensemble_proxy,"(18000.4, 24000.2]",6000,0.2214935900734984,1.570051685443681
Random_Promoter_DREAM_base_track_4,T05_uncertainty_ensemble_proxy,"(24000.2, 30000.0]",6000,0.3130236141201625,1.5257303629354346
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,"(0.999, 2845.0]",2845,0.034016146652907,0.2221200301343326
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,"(2845.0, 5689.0]",2844,0.049917376898794,0.2977211212344496
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,"(5689.0, 8533.0]",2844,0.0624357020684446,0.3588124804765029
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,"(8533.0, 11377.0]",2844,0.076799697471362,0.3937562562677117
Random_Promoter_DREAM_base_track_5,T05_uncertainty_ensemble_proxy,"(11377.0, 14221.0]",2844,0.1175667695224731,0.4141549807238039
Random_Promoter_DREAM_base_track_6,T05_uncertainty_ensemble_proxy,"(0.999, 6000.8]",6000,0.1182740979201705,1.574439292237079
Random_Promoter_DREAM_base_track_6,T05_uncertainty_ensemble_proxy,"(6000.8, 12000.6]",6000,0.156729229714275,1.579819614236627
Random_Promoter_DREAM_base_track_6,T05_uncertainty_ensemble_proxy,"(12000.6, 18000.4]",6000,0.185999011738191,1.5797392623927184
Random_Promoter_DREAM_base_track_6,T05_uncertainty_ensemble_proxy,"(18000.4, 24000.2]",6000,0.2200843084262496,1.5478035113480375
Random_Promoter_DREAM_base_track_6,T05_uncertainty_ensemble_proxy,"(24000.2, 30000.0]",6000,0.310464330964005,1.5036007093883554
Random_Promoter_DREAM_base_track_7,T05_uncertainty_ensemble_proxy,"(0.999, 6000.8]",6000,0.1188317140424777,1.5802899127497778
Random_Promoter_DREAM_base_track_7,T05_uncertainty_ensemble_proxy,"(6000.8, 12000.6]",6000,0.1569376961910227,1.5747495204252924
Random_Promoter_DREAM_base_track_7,T05_uncertainty_ensemble_proxy,"(12000.6, 18000.4]",6000,0.1863526817797478,1.5474843121345805
Random_Promoter_DREAM_base_track_7,T05_uncertainty_ensemble_proxy,"(18000.4, 24000.2]",6000,0.2214160703769528,1.523873748352976
Random_Promoter_DREAM_base_track_7,T05_uncertainty_ensemble_proxy,"(24000.2, 30000.0]",6000,0.312775510117889,1.498190436473945
Random_Promoter_DREAM_base_track_8,T05_uncertainty_ensemble_proxy,"(0.999, 800.8]",800,0.3401257428073099,1.589306133618995
Random_Promoter_DREAM_base_track_8,T05_uncertainty_ensemble_proxy,"(800.8, 1600.6]",800,0.4609095986068814,1.6003703930893411
Random_Promoter_DREAM_base_track_8,T05_uncertainty_ensemble_proxy,"(1600.6, 2400.4]",800,0.5516321002032043,1.5790392057652465
Random_Promoter_DREAM_base_track_8,T05_uncertainty_ensemble_proxy,"(2400.4, 3200.2]",800,0.665951126400735,1.6894636026414196
Random_Promoter_DREAM_base_track_8,T05_uncertainty_ensemble_proxy,"(3200.2, 4000.0]",800,1.0645740383267768,1.7153455296085411
Random_Promoter_DREAM_base_track_9,T05_uncertainty_ensemble_proxy,"(0.999, 800.8]",800,0.066332432214939,0.226578722072433
Random_Promoter_DREAM_base_track_9,T05_uncertainty_ensemble_proxy,"(800.8, 1600.6]",800,0.0978899622980656,0.3168131935933186
Random_Promoter_DREAM_base_track_9,T05_uncertainty_ensemble_proxy,"(1600.6, 2400.4]",800,0.123589065386523,0.3971394309247998
Random_Promoter_DREAM_base_track_9,T05_uncertainty_ensemble_proxy,"(2400.4, 3200.2]",800,0.1542416294310946,0.4240047429717772
Random_Promoter_DREAM_base_track_9,T05_uncertainty_ensemble_proxy,"(3200.2, 4000.0]",800,0.2651338284617591,0.4478696135207549
